Time, pitch,  roll,  yaw, X, Y, Z,Tof, Up,Back,Right,Front, Back,States
9.30133247375488,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
9.41175556182861,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
9.52817964553833,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
9.6434953212738,0.280276788512824,1.56821003937313,-0.003234863158369,6.98113726684824E-05,0.000546571391169,0.938680946826935,0.029733367309658,-1,1.68364143371582,2.73495173454285,6.34653568267822,2.21609044075013, State.takeoff
9.76063466072083,0.501738867879436,1.02331387282738,-0.006500242367709,0.000861900509335,0.00464512873441,0.894215285778046,0.048473224087209,-1,1.68385803699493,1.62206161022285,6.34648895263672,2.21816301345826, State.takeoff
9.8761568069458,0.588379733812565,-4.18954685608722,-0.005584718664547,0.00305562489666,0.010343369096518,0.818586409091949,0.161343783145114,-1,1.68488132953644,2.72981023788478,6.34568881988526,2.22177481651306, State.takeoff
9.98863697052002,0.618746763368268,-1.09231570265087,-0.004974364366262,0.00662405602634,0.008033654652536,0.724366962909699,0.246646121156157,-1,1.69018518924722,2.72718787193299,6.34055042266846,2.22509813308716, State.takeoff
10.1059327125549,0.630310273281354,-0.19458008083433,-0.005279540981943,0.012272641062737,0.001240665093064,0.592190027236939,0.354484647513055,-1,1.69463562965398,2.73206114768983,6.33606100082398,2.21887040138246, State.takeoff
10.2232329845428,0.63430597201004,0.190210048748893,-0.005493163466496,0.019656015560031,-0.005985790863633,0.428545445203781,0.488279283047155,-1,1.70047223567963,2.73829555511475,6.33016872406006,2.21254920959473, State.takeoff
10.3405227661133,0.635774517163348,0.416793477777113,-0.005615234400792,0.02889820933342,-0.012720471248031,0.231185674667358,0.648108720780444,-1,1.70772528648379,2.74449324607853,6.32285642623902,2.20638608932497, State.takeoff
10.4606575965881,0.636320820695788,0.521390263049067,-0.005676268252933,0.040180243551731,-0.018498696386814,0.005734405480325,0.832607328893774,-1,1.71639561653137,2.75001072883607,6.31413221359254,2.20090246200562, State.takeoff
10.5738635063171,0.63650522524357,0.547866029978978,-0.005706784547875,0.051796916872263,-0.022901384159923,-0.183395922183991,1.0226022005083,-1,1.72627639770511,2.75466179847718,6.30420494079591,2.19624710083008, State.takeoff
10.6852145195007,0.636559999828486,0.536844612917948,-0.005737305480458,0.064757987856865,-0.026542991399765,-0.344623625278473,1.19070839881984,-1,1.73706138134003,2.75855708122258,6.29338121414185,2.19230484962465, State.takeoff
